Gender,Height,Weight
Male,73,218
Male,73,223
Male,72,208
Male,67,181
Male,76,232
Male,66,171
Male,71,188
Male,71,196
Male,72,215
Male,75,224
Male,64,159
Male,65,167
Male,63,160
Male,68,176
Male,66,174
Male,71,194
Male,68,187
Male,69,174
Male,70,193
Male,72,208
Male,71,206
Male,66,173
Male,75,233
Male,68,177
Male,67,176
Male,72,213
Male,65,167
Male,68,196
Male,67,165
Male,67,177
Male,68,175
Male,69,195
Male,70,206
Male,65,158
Male,68,169
Male,63,136
Male,72,218
Male,67,156
Male,72,202
Male,76,236
Male,71,195
Male,67,177
Male,71,198
Male,70,186
Male,68,177
Male,74,216
Male,69,187
Male,67,172
Male,67,173
Male,67,168
Male,69,164
Male,71,190
Male,65,157
Male,65,173
Male,68,169
Male,74,231
Male,72,207
Male,68,172
Male,68,200
Male,66,168
Male,72,198
Male,69,197
Male,69,180
Male,71,189
Male,64,158
Male,71,209
Male,66,187
Male,65,158
Male,68,182
Male,71,205
Male,74,231
Male,69,186
Male,65,181
Male,68,199
Male,71,203
Male,61,161
Male,68,190
Male,72,200
Male,73,222
Male,71,214
Male,72,202
Male,68,187
Male,72,197
Male,63,152
Male,66,167
Male,70,199
Male,69,179
Male,71,194
Male,69,198
Male,66,184
Male,66,155
Male,67,161
Male,68,189
Male,71,173
Male,69,196
Male,71,216
Male,65,167
Male,75,239
Male,71,184
Male,69,200
Male,70,191
Male,64,169
Male,68,195
Male,68,183
Male,75,210
Male,71,198
Male,67,173
Male,70,197
Male,68,191
Male,68,185
Male,68,180
Male,65,160
Male,70,198
Male,71,217
Male,68,188
Male,65,177
Male,68,185
Male,74,223
Male,71,207
Male,67,171
Male,68,175
Male,67,173
Male,69,181
Male,72,203
Male,69,200
Male,74,224
Male,69,219
Male,71,211
Male,72,201
Male,69,209
Male,65,161
Male,71,208
Male,69,181
Male,69,177
Male,69,195
Male,66,163
Male,69,173
Male,74,216
Male,71,210
Male,67,185
Male,72,188
Male,70,188
Male,67,180
Male,70,212
Male,70,198
Male,69,186
Male,65,166
Male,71,189
Male,64,161
Male,70,193
Male,72,189
Male,68,208
Male,71,199
Male,71,210
Male,69,180
Male,72,196
Male,69,189
Male,66,166
Male,67,182
Male,71,190
Male,69,190
Male,67,170
Male,73,216
Male,70,177
Male,69,196
Male,67,168
Male,69,180
Male,73,221
Male,67,164
Male,65,157
Male,68,184
Male,68,170
Male,66,169
Male,73,210
Male,70,195
Male,71,194
Male,70,219
Male,72,205
Male,68,179
Male,68,182
Male,69,204
Male,69,165
Male,69,198
Male,67,173
Male,69,184
Male,66,140
Male,65,160
Male,66,164
Male,67,194
Male,67,190
Male,71,184
Male,68,191
Male,68,188
Male,76,226
Male,71,198
Male,69,191
Male,68,176
Male,65,178
Male,66,174
Male,69,210
Male,66,170
Male,68,173
Male,69,185
Male,68,194
Male,62,149
Male,67,192
Male,68,180
Male,70,203
Male,65,163
Male,72,217
Male,66,183
Male,66,167
Male,73,205
Male,71,190
Male,71,219
Male,71,203
Male,62,140
Male,69,196
Male,68,180
Male,67,164
Male,66,168
Male,69,190
Male,70,195
Male,67,190
Male,70,204
Male,69,196
Male,72,210
Male,70,191
Male,71,198
Male,68,187
Male,71,189
Male,72,176
Male,73,209
Male,61,136
Male,69,191
Male,69,191
Male,68,185
Male,76,232
Male,72,202
Male,69,188
Male,65,175
Male,66,184
Male,70,188
Male,73,214
Male,69,175
Male,69,170
Male,64,145
Male,67,176
Male,71,197
Male,74,223
Male,66,165
Male,68,170
Male,71,217
Male,67,174
Male,73,218
Male,64,161
Male,69,194
Male,70,177
Male,70,205
Male,69,177
Male,68,193
Male,66,167
Male,69,187
Male,69,189
Male,74,208
Male,66,161
Male,74,215
Male,70,205
Male,67,183
Male,73,209
Male,68,208
Male,72,211
Male,71,204
Male,67,195
Male,68,191
Male,71,200
Male,65,167
Male,67,179
Male,69,186
Male,69,194
Male,71,229
Male,69,192
Male,67,176
Male,69,176
Male,67,177
Male,71,202
Male,69,177
Male,70,186
Male,70,188
Male,72,189
Male,65,166
Male,66,170
Male,70,213
Male,71,196
Male,70,202
Male,71,201
Male,65,158
Male,69,174
Male,68,184
Male,69,188
Male,69,176
Male,70,194
Male,73,194
Male,62,146
Male,69,192
Male,71,210
Male,72,201
Male,72,209
Male,67,183
Male,68,166
Male,71,193
Male,66,178
Male,70,206
Male,72,199
Male,68,192
Male,68,175
Male,66,170
Male,72,205
Male,74,196
Male,71,208
Male,71,203
Male,72,189
Male,63,162
Male,68,183
Male,66,157
Male,68,179
Male,70,187
Male,69,172
Male,70,201
Male,69,194
Male,64,155
Male,70,193
Male,69,160
Male,70,176
Male,69,172
Male,67,182
Male,66,171
Male,69,179
Male,69,187
Male,70,182
Male,73,214
Male,75,209
Male,71,190
Male,74,217
Male,64,156
Male,71,206
Male,67,178
Male,74,229
Male,64,174
Male,69,164
Male,72,212
Male,68,206
Male,65,167
Male,69,195
Male,72,209
Male,67,182
Male,69,190
Male,64,160
Male,61,129
Male,71,196
Male,68,187
Male,75,228
Male,70,197
Male,72,210
Male,74,210
Male,71,220
Male,65,169
Male,68,186
Male,71,193
Male,67,177
Male,71,200
Male,65,169
Male,62,124
Male,62,160
Male,68,197
Male,70,162
Male,73,202
Male,70,195
Male,67,163
Male,71,176
Male,72,209
Male,73,204
Male,69,211
Male,66,169
Male,74,223
Male,69,193
Male,69,173
Male,71,192
Male,64,157
Male,70,183
Male,65,152
Male,70,193
Male,70,185
Male,71,195
Male,71,174
Male,66,165
Male,67,164
Male,66,175
Male,74,213
Male,68,173
Male,66,172
Male,71,196
Male,66,175
Male,66,175
Male,62,140
Male,74,216
Male,72,216
Male,70,184
Male,67,168
Male,66,151
Male,67,186
Male,70,203
Male,75,224
Male,65,148
Male,70,207
Male,72,205
Male,73,209
Male,73,199
Male,66,165
Male,67,181
Male,69,202
Male,68,195
Male,70,184
Male,70,188
Male,66,157
Male,69,197
Male,74,208
Male,66,158
Male,68,185
Male,70,198
Male,72,203
Male,72,199
Male,66,156
Male,64,168
Male,70,202
Male,66,175
Male,70,197
Male,68,198
Male,68,166
Male,75,233
Male,73,193
Male,70,192
Male,65,157
Male,68,163
Male,73,205
Male,67,171
Male,74,209
Male,71,210
Male,72,206
Male,66,177
Male,70,212
Male,62,150
Male,75,220
Male,72,192
Male,67,163
Male,71,200
Male,75,219
Male,73,223
Male,71,218
Male,67,171
Male,67,148
Male,70,170
Male,65,161
Male,68,185
Male,69,177
Male,68,189
Male,69,159
Male,68,188
Male,66,151
Male,69,172
Male,66,166
Male,71,186
Male,66,188
Male,65,164
Male,68,197
Male,70,190
Male,66,189
Male,69,177
Male,69,184
Male,74,221
Male,77,218
Male,71,199
Male,65,165
Male,67,163
Male,69,188
Male,64,150
Male,70,203
Male,69,182
Male,71,207
Male,70,204
Male,74,232
Male,68,195
Male,72,200
Male,71,195
Male,70,188
Male,69,195
Male,69,197
Male,67,156
Male,71,208
Male,69,172
Male,71,217
Male,70,191
Male,71,206
Male,69,201
Male,71,207
Male,65,159
Male,71,208
Male,70,188
Male,64,168
Male,70,197
Male,70,206
Male,67,165
Male,67,167
Male,68,169
Male,70,184
Male,63,168
Male,69,184
Male,67,172
Male,75,219
Male,70,190
Male,71,197
Male,70,182
Male,66,175
Male,71,209
Male,64,163
Male,71,191
Male,67,193
Male,71,213
Male,69,187
Male,71,203
Male,71,190
Male,71,197
Male,70,193
Male,74,227
Male,63,185
Male,68,171
Male,67,175
Male,71,196
Male,67,195
Male,68,184
Male,69,180
Male,69,193
Male,71,197
Male,67,164
Male,65,167
Male,70,186
Male,68,194
Male,71,206
Male,76,235
Male,68,177
Male,70,199
Male,70,201
Male,72,214
Male,71,202
Male,65,144
Male,71,203
Male,68,184
Male,71,200
Male,69,176
Male,72,195
Male,70,204
Male,66,167
Male,70,208
Male,63,153
Male,67,146
Male,65,157
Male,72,210
Male,69,184
Male,70,201
Male,66,164
Male,64,155
Male,69,189
Male,70,177
Male,67,173
Male,68,185
Male,70,204
Male,66,182
Male,73,202
Male,67,178
Male,69,203
Male,66,186
Male,67,185
Male,65,176
Male,73,210
Male,68,179
Male,66,165
Male,72,198
Male,68,185
Male,70,200
Male,71,199
Male,69,202
Male,70,202
Male,69,197
Male,63,157
Male,68,183
Male,73,203
Male,73,194
Male,71,196
Male,72,215
Male,72,184
Male,71,194
Male,66,170
Male,72,206
Male,68,166
Male,71,198
Male,66,170
Male,67,160
Male,72,205
Male,63,148
Male,70,181
Male,70,218
Male,68,189
Male,70,176
Male,62,130
Male,66,159
Male,71,192
Male,70,182
Male,67,188
Male,68,192
Male,67,163
Male,70,198
Male,65,183
Male,74,200
Male,68,184
Male,67,165
Male,69,177
Male,76,229
Male,69,180
Male,74,226
Male,70,190
Male,72,202
Male,70,179
Male,67,167
Male,66,173
Male,69,180
Male,67,160
Male,70,178
Male,66,155
Male,73,209
Male,64,169
Male,70,182
Male,71,204
Male,72,184
Male,68,200
Male,73,207
Male,71,197
Male,70,190
Male,69,197
Male,74,222
Male,68,180
Male,68,178
Male,72,203
Male,73,221
Male,70,199
Male,70,204
Male,66,150
Male,76,227
Male,71,187
Male,67,170
Male,66,182
Male,71,187
Male,65,159
Male,67,176
Male,74,221
Male,70,196
Male,70,189
Male,67,154
Male,69,179
Male,69,172
Male,70,190
Male,72,208
Male,71,192
Male,70,197
Male,68,190
Male,69,208
Male,69,189
Male,68,187
Male,71,218
Male,71,202
Male,71,205
Male,65,143
Male,67,182
Male,72,202
Male,70,193
Male,64,159
Male,74,213
Male,65,163
Male,73,212
Male,66,155
Male,69,195
Male,73,209
Male,70,198
Male,70,180
Male,72,193
Male,67,180
Male,68,191
Male,69,196
Male,69,181
Male,69,187
Male,66,168
Male,66,179
Male,69,181
Male,66,161
Male,63,150
Male,67,161
Male,67,187
Male,70,176
Male,74,239
Male,71,209
Male,71,195
Male,68,164
Male,67,183
Male,67,175
Male,67,181
Male,69,173
Male,72,208
Male,71,194
Male,69,188
Male,67,161
Male,77,229
Male,68,176
Male,67,187
Male,74,218
Male,70,185
Male,70,199
Male,66,165
Male,72,193
Male,66,171
Male,73,218
Male,70,188
Male,69,178
Male,64,152
Male,65,145
Male,65,148
Male,69,183
Male,70,178
Male,63,153
Male,67,174
Male,67,180
Male,72,200
Male,70,170
Male,65,167
Male,74,195
Male,61,153
Male,68,206
Male,64,165
Male,69,181
Male,65,185
Male,70,210
Male,71,197
Male,63,149
Male,71,201
Male,70,199
Male,67,188
Male,67,178
Male,69,173
Male,75,218
Male,67,173
Male,67,186
Male,66,165
Male,67,203
Male,68,162
Male,66,164
Male,66,171
Male,69,170
Male,70,192
Male,67,166
Male,71,197
Male,70,184
Male,69,187
Male,69,178
Male,74,222
Male,69,191
Male,73,204
Male,69,192
Male,65,179
Male,66,193
Male,68,170
Male,72,193
Male,69,186
Male,67,189
Male,70,180
Male,64,162
Male,67,183
Male,73,221
Male,68,189
Male,69,192
Male,71,214
Male,68,182
Male,68,164
Male,74,198
Male,69,187
Male,66,176
Male,70,189
Male,68,201
Male,74,210
Male,72,202
Male,70,183
Male,72,206
Male,67,172
Male,68,171
Male,78,256
Male,69,179
Male,70,186
Male,74,221
Male,72,202
Male,68,193
Male,66,157
Male,65,181
Male,69,207
Male,68,180
Male,68,194
Male,73,204
Male,74,212
Male,73,201
Male,73,212
Male,68,168
Male,70,207
Male,72,186
Male,69,173
Male,70,185
Male,67,182
Male,68,188
Male,68,169
Male,67,173
Male,67,178
Male,66,174
Male,68,192
Male,71,191
Male,70,190
Male,74,210
Male,66,159
Male,68,190
Male,68,176
Male,66,177
Male,67,170
Male,66,166
Male,73,232
Male,69,207
Male,72,200
Male,64,163
Male,72,189
Male,72,208
Male,68,173
Male,69,190
Male,67,170
Male,64,161
Male,72,211
Male,70,194
Male,73,217
Male,68,177
Male,70,203
Male,63,166
Male,72,212
Male,72,202
Male,71,201
Male,70,190
Male,70,206
Male,69,173
Male,71,221
Male,67,170
Male,73,220
Male,71,183
Male,72,198
Male,74,217
Male,70,203
Male,71,185
Male,66,148
Male,70,192
Male,71,207
Male,70,182
Male,72,213
Male,71,196
Male,67,155
Male,73,208
Male,67,182
Male,67,164
Male,67,185
Male,69,178
Male,68,178
Male,66,162
Male,70,217
Male,69,190
Male,71,197
Male,67,178
Male,69,178
Male,71,185
Male,63,154
Male,70,222
Male,68,176
Male,71,199
Male,70,189
Male,66,166
Male,72,203
Male,72,220
Male,71,213
Male,69,171
Male,70,192
Male,72,201
Male,72,209
Male,69,173
Male,71,189
Male,67,188
Male,76,224
Male,68,170
Male,69,197
Male,71,195
Male,70,198
Male,72,196
Male,73,195
Male,73,214
Male,72,201
Male,75,227
Male,67,157
Male,71,192
Male,65,169
Male,70,198
Male,72,216
Male,69,173
Male,65,163
Male,70,209
Male,71,202
Male,73,230
Male,72,203
Male,74,227
Male,66,166
Male,71,187
Male,68,181
Male,67,175
Male,71,198
Male,64,166
Male,67,166
Male,70,187
Male,70,186
Male,71,205
Male,69,189
Male,74,210
Male,67,186
Male,74,206
Male,69,189
Male,68,169
Male,63,144
Male,69,188
Male,70,194
Male,70,185
Male,69,188
Male,67,166
Male,71,202
Male,68,192
Male,67,162
Male,67,176
Male,70,193
Male,72,193
Male,69,186
Male,69,198
Male,65,168
Male,68,200
Male,72,200
Male,74,217
Male,71,194
Male,69,191
Male,74,237
Male,68,181
Male,64,152
Male,68,171
Male,71,197
Male,72,200
Male,67,158
Male,68,186
Male,65,167
Male,71,205
Male,67,175
Male,68,179
Male,68,185
Male,72,195
Male,65,160
Male,66,163
Male,69,180
Male,68,172
Male,72,192
Male,74,220
Male,67,176
Male,72,215
Male,69,194
Male,65,167
Male,66,166
Male,70,217
Male,67,171
Male,73,204
Male,75,210
Male,66,188
Male,67,163
Male,68,184
Male,70,191
Male,65,156
Male,67,181
Male,68,202
Male,69,170
Male,70,192
Male,71,179
Male,71,186
Male,69,181
Male,69,178
Male,67,188
Male,69,198
Male,68,195
Male,66,183
Male,65,157
Male,68,173
Male,65,150
Male,70,203
Male,66,164
Male,72,186
Male,65,158
Male,74,224
Male,71,190
Male,65,158
Male,68,171
Male,65,156
Male,70,192
Male,72,229
Male,67,165
Male,69,178
Male,70,199
Male,73,211
Male,69,203
Male,69,185
Male,66,149
Male,72,214
Male,66,160
Male,66,180
Male,70,197
Male,68,186
Male,66,166
Male,69,201
Male,73,201
Male,68,191
Male,70,193
Male,71,213
Male,71,210
Male,69,181
Male,68,171
Male,72,230
Male,71,200
Male,72,201
Male,60,134
Male,70,190
Male,72,193
Male,71,185
Male,73,207
Male,62,175
Male,69,177
Male,72,209
Male,71,206
Male,65,155
Male,68,196
Male,69,176
Male,71,199
Male,65,150
Male,71,179
Male,69,187
Male,65,143
Male,65,164
Male,70,185
Male,67,169
Male,67,165
Male,69,164
Male,68,186
Male,66,165
Male,70,194
Male,69,194
Male,71,204
Male,75,221
Male,66,173
Male,66,171
Male,67,170
Male,72,205
Male,68,190
Male,69,179
Male,70,190
Male,72,200
Male,69,186
Male,67,165
Male,70,177
Male,72,189
Male,71,206
Male,67,200
Male,73,226
Male,67,174
Male,74,215
Male,69,175
Male,64,168
Male,68,186
Male,68,180
Male,70,190
Male,68,182
Male,69,182
Male,70,195
Male,66,174
Male,66,181
Male,63,163
Male,67,178
Male,70,181
Male,68,178
Male,70,191
Male,70,177
Male,67,160
Male,68,188
Male,70,209
Male,71,192
Male,71,220
Male,68,186
Male,69,197
Male,65,140
Male,69,180
Male,68,176
Male,66,168
Male,68,153
Male,67,163
Male,66,164
Male,68,190
Male,66,192
Male,68,175
Male,69,184
Male,78,227
Male,71,198
Male,70,194
Male,68,177
Male,71,185
Male,68,193
Male,75,207
Male,68,179
Male,76,227
Male,71,186
Male,71,203
Male,76,234
Male,70,192
Male,70,195
Male,70,196
Male,66,158
Male,68,185
Male,68,179
Male,65,158
Male,68,182
Male,73,207
Male,66,162
Male,61,150
Male,68,160
Male,75,223
Male,66,182
Male,67,179
Male,68,179
Male,72,211
Male,69,200
Male,68,185
Male,74,215
Male,69,194
Male,74,207
Male,67,169
Male,69,195
Male,67,183
Male,72,200
Male,68,175
Male,64,154
Male,66,173
Male,74,209
Male,65,161
Male,67,189
Male,71,194
Male,67,169
Male,67,175
Male,65,176
Male,67,169
Male,68,195
Male,74,227
Male,66,176
Male,68,177
Male,66,178
Male,72,211
Male,65,156
Male,68,192
Male,75,214
Male,63,163
Male,65,157
Male,68,165
Male,72,202
Male,69,198
Male,65,177
Male,67,188
Male,67,182
Male,68,176
Male,70,176
Male,71,206
Male,70,198
Male,68,177
Male,67,174
Male,68,176
Male,68,180
Male,74,221
Male,69,182
Male,68,188
Male,69,188
Male,65,165
Male,73,216
Male,72,211
Male,70,191
Male,71,198
Male,69,188
Male,64,158
Male,71,204
Male,63,141
Male,71,207
Male,70,218
Male,67,170
Male,71,191
Male,74,199
Male,68,201
Male,74,215
Male,70,172
Male,65,162
Male,72,210
Male,67,163
Male,68,177
Male,70,200
Male,66,180
Male,69,178
Male,71,182
Male,66,163
Male,68,177
Male,72,225
Male,67,194
Male,68,164
Male,69,190
Male,69,186
Male,70,197
Male,69,195
Male,69,199
Male,73,201
Male,68,178
Male,69,202
Male,70,185
Male,69,194
Male,75,230
Male,68,173
Male,67,171
Male,73,203
Male,68,204
Male,67,168
Male,74,197
Male,61,138
Male,70,200
Male,68,194
Male,70,194
Male,70,208
Male,64,166
Male,65,185
Male,70,197
Male,68,194
Male,70,203
Male,74,208
Male,72,198
Male,67,183
Male,68,174
Male,62,149
Male,72,215
Male,68,180
Male,70,203
Male,71,183
Male,72,216
Male,73,214
Male,65,162
Male,71,212
Male,71,198
Male,66,172
Male,71,203
Male,67,165
Male,70,193
Male,72,209
Male,70,198
Male,68,168
Male,72,210
Male,69,176
Male,70,196
Male,69,195
Male,69,179
Male,69,193
Male,74,218
Male,72,217
Male,68,190
Male,69,181
Male,65,173
Male,76,217
Male,70,199
Male,73,220
Male,73,209
Male,65,173
Male,75,225
Male,69,208
Male,70,191
Male,67,176
Male,74,213
Male,71,182
Male,73,211
Male,70,190
Male,70,204
Male,67,184
Male,69,200
Male,68,171
Male,72,212
Male,75,218
Male,64,160
Male,69,185
Male,71,194
Male,76,250
Male,71,191
Male,70,197
Male,68,183
Male,68,186
Male,71,199
Male,66,173
Male,74,218
Male,72,197
Male,62,148
Male,65,158
Male,63,140
Male,69,191
Male,70,204
Male,68,171
Male,73,202
Male,70,198
Male,71,225
Male,68,188
Male,71,192
Male,70,208
Male,71,196
Male,69,190
Male,65,153
Male,73,207
Male,69,178
Male,67,173
Male,76,231
Male,72,199
Male,67,181
Male,64,161
Male,68,189
Male,70,201
Male,73,203
Male,74,208
Male,66,163
Male,67,160
Male,68,201
Male,73,212
Male,63,149
Male,68,191
Male,75,207
Male,65,173
Male,71,184
Male,67,181
Male,67,170
Male,71,201
Male,69,192
Male,71,212
Male,67,186
Male,71,177
Male,69,201
Male,73,203
Male,72,201
Male,70,182
Male,75,209
Male,68,169
Male,72,189
Male,72,195
Male,68,174
Male,67,163
Male,70,181
Male,76,240
Male,66,166
Male,66,153
Male,72,200
Male,69,197
Male,73,217
Male,69,195
Male,72,203
Male,72,204
Male,61,128
Male,69,181
Male,68,189
Male,71,199
Male,72,199
Male,70,187
Male,72,205
Male,71,194
Male,72,206
Male,66,174
Male,68,183
Male,72,218
Male,67,175
Male,71,206
Male,72,189
Male,72,214
Male,66,176
Male,70,200
Male,71,216
Male,67,159
Male,65,168
Male,70,182
Male,72,213
Male,67,169
Male,69,176
Male,65,175
Male,73,181
Male,73,189
Male,67,178
Male,63,145
Male,68,164
Male,68,174
Male,68,169
Male,77,256
Male,74,223
Male,68,168
Male,70,201
Male,66,171
Male,69,173
Male,71,187
Male,69,185
Male,75,213
Male,70,202
Male,68,168
Male,71,211
Male,70,206
Male,65,157
Male,68,170
Male,74,228
Male,69,172
Male,69,192
Male,69,174
Male,68,180
Male,71,193
Male,71,195
Male,68,188
Male,71,205
Male,69,212
Male,74,210
Male,72,197
Male,73,208
Male,68,176
Male,67,189
Male,71,194
Male,67,177
Male,71,210
Male,66,158
Male,65,171
Male,67,180
Male,71,211
Male,68,190
Male,67,178
Male,66,163
Male,68,155
Male,62,131
Male,67,187
Male,70,194
Male,70,205
Male,69,199
Male,71,192
Male,72,208
Male,67,162
Male,69,191
Male,68,171
Male,70,188
Male,71,201
Male,70,189
Male,66,166
Male,70,179
Male,69,175
Male,70,187
Male,69,202
Male,72,206
Male,69,201
Male,70,225
Male,71,199
Male,67,171
Male,68,175
Male,71,215
Male,67,175
Male,68,187
Male,66,164
Male,66,157
Male,64,159
Male,66,155
Male,70,178
Male,69,196
Male,70,194
Male,74,210
Male,72,195
Male,74,204
Male,74,212
Male,63,155
Male,72,210
Male,71,175
Male,72,206
Male,67,189
Male,64,145
Male,71,187
Male,76,232
Male,68,183
Male,70,192
Male,72,195
Male,72,204
Male,75,208
Male,67,174
Male,68,185
Male,68,168
Male,72,204
Male,67,164
Male,65,181
Male,68,175
Male,70,199
Male,69,167
Male,73,203
Male,70,191
Male,69,172
Male,66,181
Male,61,135
Male,66,170
Male,69,198
Male,71,192
Male,65,161
Male,67,170
Male,71,192
Male,68,173
Male,68,182
Male,67,189
Male,68,177
Male,71,217
Male,66,168
Male,69,178
Male,72,204
Male,70,217
Male,66,170
Male,68,174
Male,71,188
Male,66,173
Male,69,186
Male,70,205
Male,72,206
Male,68,181
Male,70,190
Male,67,175
Male,72,197
Male,69,184
Male,69,203
Male,68,191
Male,67,166
Male,68,192
Male,71,194
Male,71,195
Male,71,213
Male,75,250
Male,65,169
Male,67,174
Male,71,194
Male,72,207
Male,71,206
Male,70,199
Male,68,179
Male,70,190
Male,72,200
Male,68,166
Male,63,151
Male,67,175
Male,66,175
Male,65,166
Male,69,194
Male,70,190
Male,65,149
Male,72,223
Male,70,191
Male,69,172
Male,70,192
Male,70,192
Male,69,178
Male,64,163
Male,67,178
Male,73,215
Male,71,204
Male,75,226
Male,68,190
Male,70,208
Male,67,177
Male,68,193
Male,71,218
Male,71,192
Male,74,220
Male,70,184
Male,71,184
Male,68,184
Male,72,216
Male,68,178
Male,69,176
Male,69,200
Male,68,182
Male,74,216
Male,67,171
Male,74,214
Male,66,170
Male,72,199
Male,71,206
Male,71,198
Male,66,165
Male,72,202
Male,71,202
Male,70,189
Male,70,199
Male,71,174
Male,67,183
Male,66,184
Male,69,171
Male,68,185
Male,68,169
Male,66,198
Male,64,149
Male,69,174
Male,72,200
Male,71,194
Male,73,207
Male,70,197
Male,72,217
Male,72,220
Male,70,176
Male,69,190
Male,64,154
Male,69,188
Male,65,172
Male,71,210
Male,69,175
Male,68,158
Male,69,202
Male,67,176
Male,68,178
Male,68,174
Male,66,167
Male,71,196
Male,68,193
Male,71,200
Male,72,216
Male,71,210
Male,65,164
Male,66,173
Male,72,203
Male,68,180
Male,70,182
Male,73,201
Male,69,173
Male,70,184
Male,65,168
Male,69,176
Male,66,158
Male,72,199
Male,68,174
Male,72,212
Male,71,197
Male,73,221
Male,71,208
Male,70,221
Male,72,210
Male,76,226
Male,71,199
Male,67,160
Male,71,203
Male,71,196
Male,69,184
Male,64,148
Male,69,185
Male,67,187
Male,66,164
Male,70,201
Male,66,170
Male,67,186
Male,71,203
Male,69,203
Male,69,196
Male,70,181
Male,69,189
Male,69,188
Male,65,159
Male,67,171
Male,69,186
Male,64,158
Male,67,151
Male,70,195
Male,71,189
Male,73,219
Male,74,206
Male,70,190
Male,72,212
Male,69,172
Male,68,179
Male,72,212
Male,69,198
Male,67,175
Male,73,196
Male,74,206
Male,72,199
Male,76,246
Male,71,213
Male,72,230
Male,72,213
Male,68,192
Male,68,172
Male,62,136
Male,69,195
Male,71,215
Male,72,207
Male,72,198
Male,72,208
Male,70,183
Male,68,186
Male,67,165
Male,67,160
Male,70,188
Male,67,174
Male,66,168
Male,62,136
Male,74,220
Male,64,170
Male,69,193
Male,70,195
Male,63,157
Male,68,170
Male,77,233
Male,70,178
Male,71,185
Male,68,185
Male,69,184
Male,75,225
Male,66,148
Male,67,163
Male,66,175
Male,68,172
Male,70,182
Male,71,193
Male,71,196
Male,65,164
Male,72,204
Male,67,179
Male,64,140
Male,71,194
Male,68,182
Male,69,179
Male,60,113
Male,68,189
Male,68,171
Male,75,221
Male,68,199
Male,65,159
Male,71,209
Male,74,228
Male,62,154
Male,67,164
Male,70,196
Male,71,184
Male,76,241
Male,71,205
Male,69,197
Male,68,177
Male,69,172
Male,73,219
Male,66,167
Male,72,211
Male,67,172
Male,69,182
Male,71,195
Male,70,192
Male,68,172
Male,69,191
Male,69,206
Male,68,178
Male,66,153
Male,68,175
Male,68,198
Male,67,189
Male,71,200
Male,72,203
Male,68,180
Male,70,197
Male,68,188
Male,63,161
Male,71,187
Male,74,229
Male,67,167
Male,70,183
Male,68,182
Male,68,183
Male,76,228
Male,65,164
Male,71,215
Male,72,204
Male,67,167
Male,64,153
Male,72,210
Male,66,173
Male,64,151
Male,67,183
